n,ID,ID_next,length,area,lake,endorheic,S_0,S_max,Coeff,power,lake_type,slope,target_vol,lake_type_for_target_vol
0,3000119,3040310.0,2270.535595647796,248338101.2316185,0.0,0.0,1000000.0,1242690506.1580925,0.01,1.5,0.0,0.0001,0.0,0.0
1,3000137,3018492.0,832.6791695253473,248724090.75191203,0.0,0.0,1000000.0,1244620453.75956,0.01,1.5,0.0,0.0001,0.0,0.0
2,3000366,3035220.0,4497.020673475584,252833226.1827274,0.0,0.0,1000000.0,1265166130.913637,0.01,1.5,0.0,0.0001,0.0,0.0
3,3000378,3040306.0,3939.9151901066753,251258775.54080397,0.0,0.0,1000000.0,1257293877.7040198,0.01,1.5,0.0,0.0001,0.0,0.0
4,3000599,3022734.0,2102.884094883997,253978991.831802,0.0,0.0,1000000.0,1270894959.15901,0.01,1.5,0.0,0.0001,0.0,0.0
5,3000823,3016903.0,5255.541560880757,257606511.32256573,0.0,0.0,1000000.0,1289032556.6128287,0.01,1.5,0.0,0.0001,0.0,0.0
6,3000951,3029734.0,4149.745089242823,259515281.35550368,0.0,0.0,1000000.0,1298576406.7775183,0.01,1.5,0.0,0.0001,0.0,0.0
7,3001129,3022211.0,1099.0804739401426,258815284.23735023,0.0,0.0,1000000.0,1295076421.1867511,0.01,1.5,0.0,0.0001,0.0,0.0
8,3001373,3029878.0,5514.286754304897,262789580.0543938,0.0,0.0,1000000.0,1314947900.271969,0.01,1.5,0.0,0.0001,0.0,0.0
9,3001382,3021869.0,4915.420925600491,263080348.82209736,0.0,0.0,1000000.0,1316401744.1104867,0.01,1.5,0.0,0.0001,0.0,0.0
10,3001424,3030291.0,6385.911400030455,263588360.21745425,0.0,0.0,1000000.0,1318941801.0872712,0.01,1.5,0.0,0.0001,0.0,0.0
11,3001551,3024313.0,8739.636041206912,262970824.6201381,0.0,0.0,1000000.0,1315854123.1006906,0.01,1.5,0.0,0.0001,0.0,0.0
12,3001624,3016903.0,4465.106295512504,267191519.03765643,0.0,0.0,1000000.0,1336957595.188282,0.01,1.5,0.0,0.0001,0.0,0.0
13,3002215,3031309.0,8844.819654837771,272869194.0951593,0.0,0.0,1000000.0,1365345970.4757965,0.01,1.5,0.0,0.0001,0.0,0.0
14,3002330,3022519.0,4410.798999896917,272609056.3748982,0.0,0.0,1000000.0,1364045281.874491,0.01,1.5,0.0,0.0001,0.0,0.0
15,3002392,3035381.0,3415.6917036312807,275749736.2582427,0.0,0.0,1000000.0,1379748681.2912135,0.01,1.5,0.0,0.0001,0.0,0.0
16,3002411,3033917.0,10667.593305310422,272515829.29323685,0.0,0.0,1000000.0,1363579146.4661841,0.01,1.5,0.0,0.0001,0.0,0.0
17,3002458,3034036.0,12301.09662108136,273232313.5562344,0.0,0.0,1000000.0,1367161567.781172,0.01,1.5,0.0,0.0001,0.0,0.0
18,3002480,3029533.0,6295.087448947505,275500930.66439915,0.0,0.0,1000000.0,1378504653.3219957,0.01,1.5,0.0,0.0001,0.0,0.0
19,3002533,3033235.0,7909.081965095158,275355502.0365386,0.0,0.0,1000000.0,1377777510.182693,0.01,1.5,0.0,0.0001,0.0,0.0
20,3002701,3025785.0,6744.570788697607,278880106.0794848,0.0,0.0,1000000.0,1395400530.3974242,0.01,1.5,0.0,0.0001,0.0,0.0
21,3002710,3040953.0,11005.734125933885,276129650.5037,0.0,0.0,1000000.0,1381648252.5185,0.01,1.5,0.0,0.0001,0.0,0.0
22,3002737,3044475.0,9525.664229308342,280248379.48555243,0.0,0.0,1000000.0,1402241897.427762,0.01,1.5,0.0,0.0001,0.0,0.0
23,3002739,3039513.0,9905.953924588432,277019094.07914054,0.0,0.0,1000000.0,1386095470.3957028,0.01,1.5,0.0,0.0001,0.0,0.0
24,3002801,3027966.0,4050.408470075092,278952358.34990203,0.0,0.0,1000000.0,1395761791.7495103,0.01,1.5,0.0,0.0001,0.0,0.0
25,3002958,7006293.0,6648.245333153359,275125012.54742897,0.0,0.0,1000000.0,1376625062.737145,0.01,1.5,0.0,0.0001,0.0,0.0
26,3002966,3031796.0,3231.800852455575,282932059.5165767,0.0,0.0,1000000.0,1415660297.5828836,0.01,1.5,0.0,0.0001,0.0,0.0
27,3002986,3027963.0,6428.64035153754,280716121.6973747,0.0,0.0,1000000.0,1404580608.4868736,0.01,1.5,0.0,0.0001,0.0,0.0
28,3003132,7000700.0,1.0,261553475.7725765,0.0,0.0,1000000.0,1308767378.8628826,0.01,1.5,0.0,0.0001,0.0,0.0
29,3003242,3038060.0,13773.57001443914,284419627.2200284,0.0,0.0,1000000.0,1423098136.100142,0.01,1.5,0.0,0.0001,0.0,0.0
30,3003295,3033617.0,7401.224199629725,286991053.51874614,0.0,0.0,1000000.0,1435955267.5937307,0.01,1.5,0.0,0.0001,0.0,0.0
31,3003299,3033330.0,8539.410163904657,282704218.13955736,0.0,0.0,1000000.0,1414521090.6977868,0.01,1.5,0.0,0.0001,0.0,0.0
32,3003300,3040246.0,16651.819667074356,283997604.6742399,0.0,0.0,1000000.0,1420988023.3711994,0.01,1.5,0.0,0.0001,0.0,0.0
33,3003360,3028231.0,14166.485953460757,283389655.87765414,0.0,0.0,1000000.0,1417948279.3882706,0.01,1.5,0.0,0.0001,0.0,0.0
34,3003546,3021763.0,13770.998775992768,289737803.65280795,0.0,0.0,1000000.0,1449689018.2640398,0.01,1.5,0.0,0.0001,0.0,0.0
35,3003575,3040257.0,18836.975536584352,287100190.1937286,0.0,0.0,1000000.0,1436500950.9686432,0.01,1.5,0.0,0.0001,0.0,0.0
36,3003621,7007701.0,1942.273601730769,287492263.5205042,0.0,0.0,1000000.0,1438461317.602521,0.01,1.5,0.0,0.0001,0.0,0.0
37,3003677,3025695.0,12242.473824332605,291401386.9460061,0.0,0.0,1000000.0,1458006934.7300305,0.01,1.5,0.0,0.0001,0.0,0.0
38,3003748,3044204.0,4870.207803422086,292705732.5603494,0.0,0.0,1000000.0,1464528662.801747,0.01,1.5,0.0,0.0001,0.0,0.0
39,3003885,3025430.0,14775.16866496782,292650786.3004188,0.0,0.0,1000000.0,1464253931.502094,0.01,1.5,0.0,0.0001,0.0,0.0
40,3003901,3025695.0,6746.644990095531,291308125.486222,0.0,0.0,1000000.0,1457540627.4311101,0.01,1.5,0.0,0.0001,0.0,0.0
41,3003914,3026720.0,5796.506493703817,290235336.90347296,0.0,0.0,1000000.0,1452176684.5173647,0.01,1.5,0.0,0.0001,0.0,0.0
42,3003975,3019059.0,6185.9805933319885,292536428.34232765,0.0,0.0,1000000.0,1463682141.7116382,0.01,1.5,0.0,0.0001,0.0,0.0
43,3004146,7007291.0,1.0,284292945.6335909,0.0,0.0,1000000.0,1422464728.1679544,0.01,1.5,0.0,0.0001,0.0,0.0
44,3004285,7000653.0,15135.1839410159,299062225.8208818,0.0,0.0,1000000.0,1496311129.104409,0.01,1.5,0.0,0.0001,0.0,0.0
45,3004404,3032173.0,8083.542003840842,301822137.4509244,0.0,0.0,1000000.0,1510110687.254622,0.01,1.5,0.0,0.0001,0.0,0.0
46,3004506,3033198.0,1458.5588426059012,302241607.32328296,0.0,0.0,1000000.0,1512208036.6164148,0.01,1.5,0.0,0.0001,0.0,0.0
47,3004507,3034605.0,15272.336825119974,299272674.7490567,0.0,0.0,1000000.0,1497363373.7452836,0.01,1.5,0.0,0.0001,0.0,0.0
48,3004759,7000653.0,1.0,294113602.0547967,0.0,0.0,1000000.0,1471568010.2739835,0.01,1.5,0.0,0.0001,0.0,0.0
49,3004838,3028986.0,21132.567139898736,305871503.4731226,0.0,0.0,1000000.0,1530357517.365613,0.01,1.5,0.0,0.0001,0.0,0.0
50,3004841,7000591.0,605.7576231507783,297669999.4287883,0.0,0.0,1000000.0,1489349997.1439414,0.01,1.5,0.0,0.0001,0.0,0.0
51,3005091,3033892.0,18555.798409825285,306469388.5335934,0.0,0.0,1000000.0,1533346942.667967,0.01,1.5,0.0,0.0001,0.0,0.0
52,3005131,3025082.0,20362.628240245034,307571992.068184,0.0,0.0,1000000.0,1538859960.34092,0.01,1.5,0.0,0.0001,0.0,0.0
53,3005144,3020823.0,17296.36805685389,311613989.1302712,0.0,0.0,1000000.0,1559069945.651356,0.01,1.5,0.0,0.0001,0.0,0.0
54,3005411,3028224.0,21317.908454848555,312673117.3949433,0.0,0.0,1000000.0,1564365586.9747164,0.01,1.5,0.0,0.0001,0.0,0.0
55,3005655,7000636.0,6608.917725115453,311097105.3555388,0.0,0.0,1000000.0,1556485526.777694,0.01,1.5,0.0,0.0001,0.0,0.0
56,3005768,3044492.0,11685.751033033035,322067009.38631546,0.0,0.0,1000000.0,1611335046.9315772,0.01,1.5,0.0,0.0001,0.0,0.0
57,3005997,3021339.0,22763.99959873862,326348301.96887106,0.0,0.0,1000000.0,1632741509.8443553,0.01,1.5,0.0,0.0001,0.0,0.0
58,3006179,3025187.0,1373.0323063985738,328003492.32503194,0.0,0.0,1000000.0,1641017461.6251597,0.01,1.5,0.0,0.0001,0.0,0.0
59,3006211,3027655.0,16377.577797387406,327551748.1399957,0.0,0.0,1000000.0,1638758740.6999784,0.01,1.5,0.0,0.0001,0.0,0.0
60,3006245,3031464.0,15764.146758201654,326656597.5610209,0.0,0.0,1000000.0,1634282987.8051045,0.01,1.5,0.0,0.0001,0.0,0.0
61,3006316,3038805.0,3474.379202183716,326817034.3421889,0.0,0.0,1000000.0,1635085171.7109444,0.01,1.5,0.0,0.0001,0.0,0.0
62,3006379,3025269.0,6849.9694241142615,330469797.3897805,0.0,0.0,1000000.0,1653348986.9489026,0.01,1.5,0.0,0.0001,0.0,0.0
63,3006403,3021760.0,16752.605825020968,330725486.64893544,0.0,0.0,1000000.0,1654627433.244677,0.01,1.5,0.0,0.0001,0.0,0.0
64,3006509,3030476.0,4042.6083651467898,331474704.69973564,0.0,0.0,1000000.0,1658373523.4986782,0.01,1.5,0.0,0.0001,0.0,0.0
65,3006522,7007482.0,2468.5087002063274,324516205.45003986,0.0,0.0,1000000.0,1623581027.2501993,0.01,1.5,0.0,0.0001,0.0,0.0
66,3006530,3021918.0,996.3238545771048,334419630.052537,0.0,0.0,1000000.0,1673098150.262685,0.01,1.5,0.0,0.0001,0.0,0.0
67,3006631,3025112.0,8857.887440798318,335073823.6943904,0.0,0.0,1000000.0,1676369118.471952,0.01,1.5,0.0,0.0001,0.0,0.0
68,3006721,3023717.0,9541.029466323978,336241081.9752432,0.0,0.0,1000000.0,1682205409.876216,0.01,1.5,0.0,0.0001,0.0,0.0
69,3006884,3028371.0,11119.0446968147,338017316.3664772,0.0,0.0,1000000.0,1691086581.832386,0.01,1.5,0.0,0.0001,0.0,0.0
70,3007047,3028633.0,18602.38146499677,341921098.37866724,0.0,0.0,1000000.0,1710605491.8933363,0.01,1.5,0.0,0.0001,0.0,0.0
71,3007173,3034147.0,14336.844567952405,341488040.7425304,0.0,0.0,1000000.0,1708440203.712652,0.01,1.5,0.0,0.0001,0.0,0.0
72,3007258,3022211.0,13372.49800642322,343104595.74043787,0.0,0.0,1000000.0,1716522978.7021894,0.01,1.5,0.0,0.0001,0.0,0.0
73,3007374,3021763.0,13475.694816656674,349093226.742612,0.0,0.0,1000000.0,1746466133.71306,0.01,1.5,0.0,0.0001,0.0,0.0
74,3007455,7000591.0,1.0,339195536.1512937,0.0,0.0,1000000.0,1696977680.7564685,0.01,1.5,0.0,0.0001,0.0,0.0
75,3007479,3029513.0,23634.82229138617,351078649.1804358,0.0,0.0,1000000.0,1756393245.9021788,0.01,1.5,0.0,0.0001,0.0,0.0
76,3007560,3031528.0,16582.72848409081,352586029.5685408,0.0,0.0,1000000.0,1763930147.842704,0.01,1.5,0.0,0.0001,0.0,0.0
