,S_1_hruid,S_1_PFAF,S_1_area_org,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
1566,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.400001525878906,-120.0,6747,79087468.94728579,6747,43913.09050179798,0.00017682784189785287,0.0005552471344236266,0.00017682784189785284,0.0005552471344236267
1570,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.599998474121094,-120.0,6545,78756909.07759008,6545,41428075.260689735,0.1668212612371168,0.5260246465472057,0.16682126123711677,0.5260246465472055
1568,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.5,-120.0,6646,78920808.33257833,6646,25175916.69362268,0.10137758390180146,0.3190022660123986,0.10137758390180143,0.31900226601239867
1569,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.599998474121094,-119.9000015258789,6546,78756909.07760528,6546,56404415.30404031,0.22712751295232345,0.716183709653469,0.2271275129523234,0.716183709653469
1572,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.400001525878906,-119.9000015258789,6748,79087468.94730105,6748,14696678.797208505,0.05918012066743303,0.185828159540691,0.059180120667433014,0.18582815954069104
1574,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.5,-119.80000305175781,6648,78923818.9684504,6648,18960752.91074741,0.07635055924448358,0.24024119915341302,0.07635055924448357,0.2402411991534131
1575,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.599998474121094,-119.80000305175781,6547,78759913.46110633,6547,17986046.507638693,0.0724256423739965,0.2283654935263567,0.07242564237399648,0.22836549352635674
1571,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.70000076293945,-120.0,6444,78591254.12683703,6444,32787.80057572871,0.00013202887681398556,0.0004171940114712136,0.00013202887681398553,0.0004171940114712136
1567,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.5,-119.9000015258789,6647,78920808.33259356,6647,73450159.44954391,0.2957667755582871,0.9306817935772419,0.29576677555828707,0.930681793577242
1573,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162058,86,50.400001525878906,-119.80000305175781,6749,79090485.9408528,6749,159355.41705186994,0.0006416873458464674,0.002014849386195991,0.0006416873458464673,0.0020148493861959914
